payment_id,customer_id,staff_id,rental_id,amount,payment_date
1,401,1,2014,5.99,2005-06-14 18:13:37
2,308,1,12214,2.99,2005-06-25 23:49:37
3,229,1,8302,0.99,2005-09-01 00:53:37
4,92,1,11314,8.99,2005-07-29 13:12:37
5,89,2,11112,5.99,2005-06-16 11:48:37
6,350,2,64,5.99,2005-08-31 04:53:37
7,90,1,819,7.99,2005-08-08 13:44:37
8,463,1,10399,1.99,2005-05-31 02:00:37
9,31,1,11337,6.99,2005-06-20 11:51:37
10,161,1,11523,0.99,2005-07-20 12:17:37
11,264,2,8016,0.99,2005-09-02 11:30:37
12,39,2,555,9.99,2005-09-14 22:52:37
13,370,1,5981,1.99,2005-07-17 07:01:37
14,241,1,14557,5.99,2005-08-21 12:22:37
15,574,1,11403,1.99,2005-06-06 21:49:37
16,465,1,2162,2.99,2005-08-05 00:29:37
17,459,2,11471,2.99,2005-07-31 11:09:37
18,15,1,14906,0.99,2005-06-20 17:32:37
19,130,2,6775,0.99,2005-09-22 13:36:37
20,193,1,12052,8.99,2005-05-26 13:20:37
21,537,1,14861,8.99,2005-06-28 01:08:37
22,375,1,4770,1.99,2005-05-28 17:26:37
23,592,2,2170,8.99,2005-06-16 19:03:37
24,334,2,1957,5.99,2005-07-12 08:56:37
25,209,2,7439,5.99,2005-09-17 06:37:37
26,65,1,2918,9.99,2005-08-20 21:05:37
27,240,1,14612,9.99,2005-09-09 15:50:37
28,325,2,15121,8.99,2005-08-23 17:50:37
29,315,2,3965,8.99,2005-08-13 15:46:37
30,137,2,10269,0.99,2005-07-15 07:22:37
31,467,2,15132,4.99,2005-09-10 10:39:37
32,352,1,10177,5.99,2005-08-18 14:18:37
33,209,2,11563,2.99,2005-07-29 06:04:37
34,119,2,840,0.99,2005-06-19 18:40:37
35,175,1,14152,4.99,2005-07-08 22:15:37
36,397,2,5708,8.99,2005-07-01 16:26:37
37,356,2,6211,9.99,2005-06-03 23:22:37
38,188,2,14142,8.99,2005-05-26 19:04:37
39,12,2,6593,6.99,2005-08-13 10:47:37
40,564,2,496,3.99,2005-08-12 13:11:37
41,313,1,5518,2.99,2005-08-07 03:06:37
42,193,2,1598,1.99,2005-09-03 18:28:37
43,211,1,9296,3.99,2005-06-12 16:08:37
44,66,2,2892,6.99,2005-06-19 03:09:37
45,516,1,9873,4.99,2005-07-15 16:17:37
46,333,2,10785,4.99,2005-08-13 11:11:37
47,136,1,8671,8.99,2005-08-16 19:05:37
48,451,1,15881,5.99,2005-09-05 11:54:37
49,252,1,9029,4.99,2005-05-26 09:57:37
50,186,1,11466,4.99,2005-06-05 16:17:37
51,278,2,15076,5.99,2005-06-20 10:22:37
52,380,2,13523,5.99,2005-07-03 12:36:37
53,542,2,14753,5.99,2005-06-12 20:38:37
54,224,1,82,6.99,2005-05-27 17:24:37
55,496,2,6401,5.99,2005-06-10 06:47:37
56,327,1,17,6.99,2005-06-06 00:17:37
57,314,2,14460,6.99,2005-09-09 19:54:37
58,515,2,13556,9.99,2005-09-01 02:35:37
59,478,2,13604,1.99,2005-08-20 11:18:37
60,488,1,14549,1.99,2005-06-27 06:51:37
61,345,2,14730,0.99,2005-09-04 20:21:37
62,234,1,15654,1.99,2005-09-09 00:28:37
63,19,2,10537,3.99,2005-06-09 16:14:37
64,70,1,7450,3.99,2005-08-02 11:12:37
65,166,2,7725,6.99,2005-07-28 12:47:37
66,526,2,14146,9.99,2005-07-02 16:54:37
67,498,2,880,8.99,2005-07-19 08:17:37
68,534,1,14089,1.99,2005-08-09 01:57:37
69,459,1,10871,2.99,2005-07-08 14:36:37
70,66,1,8230,3.99,2005-07-21 03:39:37
71,376,2,5668,8.99,2005-09-18 19:47:37
72,169,1,8884,1.99,2005-06-12 09:53:37
73,446,2,7665,9.99,2005-07-17 06:36:37
74,284,1,10938,9.99,2005-06-05 19:13:37
75,227,2,7655,9.99,2005-06-13 02:45:37
76,285,2,5243,6.99,2005-06-27 15:59:37
77,27,1,2770,2.99,2005-06-20 04:51:37
78,534,1,7081,0.99,2005-09-06 12:39:37
79,342,2,13901,8.99,2005-05-31 01:24:37
80,520,1,2001,9.99,2005-06-29 13:46:37
81,48,1,3994,1.99,2005-08-12 02:55:37
82,49,2,11608,8.99,2005-08-01 19:59:37
83,304,1,15195,2.99,2005-08-04 14:24:37
84,512,1,12839,2.99,2005-08-07 00:40:37
85,29,1,3771,9.99,2005-08-06 14:18:37
86,530,1,14176,2.99,2005-07-15 04:59:37
87,98,1,15662,4.99,2005-06-19 20:51:37
88,25,1,11199,7.99,2005-05-26 19:43:37
89,414,1,14814,0.99,2005-05-30 17:31:37
90,277,1,15530,9.99,2005-06-26 04:07:37
91,506,1,1270,1.99,2005-07-10 21:11:37
92,191,2,12114,4.99,2005-06-15 06:30:37
93,522,2,3324,5.99,2005-08-22 01:41:37
94,446,2,2805,3.99,2005-07-21 22:12:37
95,393,1,8228,9.99,2005-08-23 04:41:37
96,69,2,8636,6.99,2005-09-17 23:52:37
